%MISS,GETS,NONREC,SLOW,REC,TIER2,TIER3,%UTIL,AVER_HTM,MON-NAME,PATTERN-NAME,PATTERN-NO
4,74169,74169,3253,0,71386167,2192808,99,508217,java/lang/Object@000000060A25E718,Hot2,2
5,62662,62662,3342,0,67308677,2070443,99,601282,java/lang/Object@000000060A25E198,Hot2,2
3,63937,63937,2098,0,57104881,1751217,99,589899,java/lang/Object@000000060A25E3E8,Hot2,2
4,67455,67455,2439,0,59872702,1835770,99,558533,java/lang/Object@000000060A25E5B0,Hot2,2
5,71531,71531,3446,0,71208661,2187917,99,526111,java/lang/Object@000000060A261508,Hot2,2
5,61480,61480,3320,0,64367732,1979150,99,613650,java/lang/Object@000000060A261390,Hot2,2
4,75125,75125,2759,0,65899354,2021463,99,502036,java/lang/Object@000000060A25B860,Hot2,2
5,60345,60345,3284,0,66526366,2047083,99,623380,java/lang/Object@000000060A25E350,Hot2,2
5,71469,71469,3394,0,71951456,2211031,99,526726,java/lang/Object@000000060A261558,Hot2,2
4,68865,68865,2764,0,62645224,1922137,99,547056,java/lang/Object@000000060A25B688,Hot2,2
5,68761,68761,3159,0,66826912,2052590,99,547429,java/lang/Object@000000060A25B900,Hot2,2
4,67881,67881,2399,0,57932406,1774887,99,554745,java/lang/Object@000000060A25E360,Hot2,2
5,72266,72266,3677,0,72734681,2235059,99,519946,java/lang/Object@000000060A25E3E8,Hot2,2
4,73461,73461,2853,0,64473572,1977062,99,513579,java/lang/Object@000000060A25BDB8,Hot2,2
3,65403,65403,2169,0,59468948,1824697,99,577099,java/lang/Object@000000060A25B308,Hot2,2
4,65540,65540,2940,0,65178275,2002757,99,574704,java/lang/Object@000000060A25E2C8,Hot2,2
5,63780,63780,3167,0,66561274,2046510,99,590936,java/lang/Object@000000060A25B270,Hot2,2
2,70539,70539,1702,0,51546589,1576082,99,533499,java/lang/Object@000000060A25E1C8,Hot2,2
3,75763,75763,2401,0,61681423,1889291,99,498273,java/lang/Object@000000060A25BDB8,Hot2,2
3,68178,68178,1984,0,56550158,1731731,99,553902,java/lang/Object@000000060A25B568,Hot2,2
5,60012,60012,3183,0,66233092,2038197,99,626329,java/lang/Object@000000060A25E218,Hot2,2
5,69170,69170,3346,0,71995849,2213844,99,544277,java/lang/Object@000000060A25E528,Hot2,2
4,72509,72509,2820,0,66061005,2026600,99,519898,java/lang/Object@000000060A25E268,Hot2,2
5,66724,66724,3078,0,64357249,1976297,99,564445,java/lang/Object@000000060A25E518,Hot2,2
6,60703,60703,3391,0,67480021,2076609,99,618541,java/lang/Object@000000060A25E970,Hot2,2
3,69993,69993,2053,0,55890901,1711060,99,538747,java/lang/Object@000000060A25BA30,Hot2,2
4,76206,76206,2942,0,70756840,2172006,99,495053,java/lang/Object@000000060A25E3F8,Hot2,2
3,61762,61762,2124,0,55128665,1690695,99,610858,java/lang/Object@000000060A2615F0,Hot2,2
