%MISS,GETS,NONREC,SLOW,REC,TIER2,TIER3,%UTIL,AVER_HTM,MON-NAME
0,126991,126991,102,0,68948036,2094665,100,298037,java/lang/Boolean@000000060A2585C0
0,121133,121133,64,0,69974320,2129773,100,312529,java/lang/Boolean@000000060A25BDA8
0,123768,123768,90,0,70621405,2147301,100,306085,java/lang/Boolean@000000060A25B888
0,150864,150864,77,0,71091299,2146078,100,251039,java/lang/Boolean@000000060A25BA28
0,150079,150079,112,0,70701516,2136660,100,252092,java/lang/Boolean@000000060A25BB20
0,152737,152737,81,0,71116925,2146825,100,247755,java/lang/Boolean@000000060A261688
0,128081,128081,95,0,71218296,2165042,100,295800,java/lang/Boolean@000000060A258558
0,152488,152488,71,0,71479600,2159312,100,248322,java/lang/Boolean@000000060A25BA30
0,122084,122084,76,0,70820198,2155326,100,310390,java/lang/Boolean@000000060A2585C0
0,141459,141459,98,0,71050472,2149304,100,267657,java/lang/Boolean@000000060A25BBB8
0,128229,128229,95,0,69842213,2122682,100,295341,java/lang/Boolean@000000060A25B860
0,137799,137799,128,0,71242921,2160068,100,274770,java/lang/Boolean@000000060A25E1F8
0,134907,134907,65,0,71149316,2157247,100,280797,java/lang/Boolean@000000060A25B7B8
0,137455,137455,88,0,70356195,2132715,100,275288,java/lang/Boolean@000000060A25B698
0,120390,120390,54,0,70909872,2157936,100,314606,java/lang/Boolean@000000060A25BD20
0,151689,151689,106,0,70788977,2137449,100,249525,java/lang/Boolean@000000060A25E5C0
0,129497,129497,128,0,70983307,2155555,100,292501,java/lang/Boolean@000000060A25B270
0,135101,135101,79,0,71178876,2160310,100,280333,java/lang/Boolean@000000060A25BB80
0,145310,145310,92,0,71310446,2158033,100,260509,java/lang/Boolean@000000060A25B558
0,125844,125844,80,0,69005975,2095673,100,300978,java/lang/Boolean@000000060A2586D8
0,126824,126824,63,0,70084469,2131423,100,298588,java/lang/Boolean@000000060A25E518
0,135399,135399,82,0,70756082,2146442,100,279594,java/lang/Boolean@000000060A258958
0,153575,153575,125,0,70816033,2138357,99,246205,java/lang/Boolean@000000060A25E518
0,127997,127997,63,0,70418503,2140556,100,295827,java/lang/Boolean@000000060A258978
0,136842,136842,86,0,72063555,2186385,100,276762,java/lang/Boolean@000000060A25B8F8
0,130720,130720,94,0,70242823,2133835,100,289549,java/lang/Boolean@000000060A25B9E0
0,149184,149184,68,0,72468547,2194949,100,253908,java/lang/Boolean@000000060A25B8E8
0,120099,120099,62,0,71066167,2162980,100,315416,java/lang/Boolean@000000060A2587A0
0,131765,131765,101,0,70906314,2151917,100,287460,java/lang/Boolean@000000060A25E890
0,145280,145280,73,0,71676997,2170530,100,260623,java/lang/Boolean@000000060A25BA08
0,120853,120853,71,0,71608633,2178219,100,313519,java/lang/Boolean@000000060A25BA18
0,154729,154729,89,0,69814258,2109283,99,244397,java/lang/Boolean@000000060A25BD10
0,144198,144198,98,0,69730179,2109893,100,262444,java/lang/Boolean@000000060A25B558
0,146002,146002,93,0,70527559,2135634,100,259185,java/lang/Boolean@000000060A25BA18
0,143946,143946,104,0,72374755,2194540,100,263008,java/lang/Boolean@000000060A25B980
0,137062,137062,71,0,71134642,2156920,100,276005,java/lang/Boolean@000000060A25E620
0,132183,132183,82,0,70602557,2140767,100,286406,java/lang/Boolean@000000060A25B730
0,154074,154074,110,0,71784896,2168913,99,245423,java/lang/Boolean@000000060A25B2F8
0,149718,149718,104,0,71289253,2154213,100,252877,java/lang/Boolean@000000060A25B7E0
0,145943,145943,107,0,70405984,2130829,100,259368,java/lang/Boolean@000000060A25B600
0,131628,131628,81,0,69915140,2122088,100,287714,java/lang/Boolean@000000060A25E750
0,145483,145483,78,0,71742458,2175232,100,260319,java/lang/Boolean@000000060A2589D0
0,132497,132497,69,0,69142764,2098206,100,285935,java/lang/Boolean@000000060A25BBF0
0,125152,125152,81,0,70995955,2156330,100,302576,java/lang/Boolean@000000060A25E550
0,149796,149796,108,0,70931367,2143353,99,252430,java/lang/Boolean@000000060A25B8E8
0,138902,138902,84,0,70693221,2144103,100,272510,java/lang/Boolean@000000060A258900
0,141054,141054,84,0,70856589,2144371,100,268471,java/lang/Boolean@000000060A25E360
0,130915,130915,41,0,71114819,2158195,100,289200,java/lang/Boolean@000000060A25B900
0,128086,128086,78,0,70746819,2151580,100,295589,java/lang/Boolean@000000060A25BCB0
0,153700,153700,103,0,70243163,2120372,100,246178,java/lang/Boolean@000000060A25BDA8
0,133979,133979,63,0,71906594,2180859,100,282710,java/lang/Boolean@000000060A25E578
0,136081,136081,68,0,70317359,2132195,100,278141,java/lang/Boolean@000000060A2585C0
0,119627,119627,56,0,71270950,2167554,100,316381,java/lang/Boolean@000000060A25B400
0,128875,128875,78,0,69702467,2115613,100,293744,java/lang/Boolean@000000060A261628
0,141039,141039,87,0,70437698,2133313,100,268285,java/lang/Boolean@000000060A25E528
